tst1,56, Local-gov, 216851, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States,?
tst416,29, Local-gov, 187649, HS-grad, 9, Separated, Protective-serv, Other-relative, White, Female, 0, 0, 40, United-States,?
tst417,43, Private, 168071, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 44, United-States,?
tst418,23, Private, 120068, Assoc-voc, 11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States,?
tst419,45, Private, 273435, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst420,31, Self-emp-not-inc, 286282, Bachelors, 13, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 20, United-States,?
tst421,40, Private, 173858, 7th-8th, 4, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 42, Cambodia,?
tst422,32, ?, 123971, 11th, 7, Divorced, ?, Not-in-family, White, Female, 0, 0, 49, United-States,?
tst423,29, Private, 93662, Some-college, 10, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 24, United-States,?
tst424,42, Private, 132481, Assoc-acdm, 12, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 24, United-States,?
tst425,67, ?, 81761, HS-grad, 9, Divorced, ?, Own-child, White, Male, 0, 0, 20, United-States,?
tst426,31, Private, 43716, Assoc-voc, 11, Divorced, Machine-op-inspct, Unmarried, White, Male, 0, 0, 43, United-States,?
tst427,39, Local-gov, 229651, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States,?
tst428,39, Private, 224531, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 7298, 0, 40, United-States,?
tst429,59, Private, 197148, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 24, United-States,?
tst430,45, Self-emp-not-inc, 160962, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 35, United-States,?
tst431,40, Self-emp-not-inc, 33068, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States,?
tst432,23, Private, 91189, Bachelors, 13, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 20, United-States,?
tst433,23, Private, 664670, HS-grad, 9, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 40, United-States,?
tst434,43, Private, 143582, 5th-6th, 3, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female, 0, 2129, 72, ?,?
tst435,24, ?, 41356, Some-college, 10, Never-married, ?, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst436,27, Private, 225142, Some-college, 10, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States,?
tst437,47, Private, 427055, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, Mexico,?
tst438,33, Self-emp-not-inc, 42485, 11th, 7, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States,?
tst439,47, Self-emp-inc, 105779, Bachelors, 13, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States,?
tst440,31, Private, 162572, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst441,56, Self-emp-inc, 35723, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States,?
tst442,21, Private, 198992, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 33, United-States,?
tst443,26, Private, 239390, Bachelors, 13, Never-married, Sales, Own-child, White, Male, 0, 0, 18, United-States,?
tst444,47, Self-emp-not-inc, 173613, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 65, United-States,?
tst445,38, Private, 173968, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States,?
tst446,26, Private, 162872, Assoc-acdm, 12, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst447,20, Private, 33551, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States,?
tst448,46, Private, 159869, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst449,35, State-gov, 349066, HS-grad, 9, Divorced, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States,?
tst450,32, Private, 193042, Prof-school, 15, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 60, United-States,?
tst451,36, Self-emp-not-inc, 313853, Bachelors, 13, Divorced, Other-service, Unmarried, Black, Male, 0, 0, 45, United-States,?
tst452,33, Private, 171876, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, United-States,?
tst453,48, Local-gov, 334409, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 50, United-States,?
tst454,27, Self-emp-not-inc, 442612, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 65, United-States,?
tst455,55, Private, 229029, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 48, United-States,?
tst456,20, Private, 34590, Some-college, 10, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 60, United-States,?
tst457,28, Private, 245790, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States,?
tst458,32, State-gov, 203849, 7th-8th, 4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 19, United-States,?
tst459,35, Self-emp-inc, 338320, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States,?
tst460,33, Private, 296453, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 15, United-States,?
tst461,46, Private, 216999, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 55, United-States,?
tst462,34, Private, 56121, 11th, 7, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States,?
tst463,29, Private, 190350, 12th, 8, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 35, ?,?
tst464,61, Self-emp-not-inc, 115882, 1st-4th, 2, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 20, United-States,?
tst465,55, Private, 129173, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, Black, Male, 0, 0, 40, United-States,?
tst466,28, Private, 96020, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 50, United-States,?
tst467,24, Private, 175254, Some-college, 10, Never-married, Transport-moving, Not-in-family, Black, Male, 0, 0, 40, United-States,?
tst468,56, Private, 247119, 7th-8th, 4, Widowed, Machine-op-inspct, Unmarried, Other, Female, 0, 0, 40, Dominican-Republic,?
tst469,46, Private, 188027, Some-college, 10, Never-married, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States,?
tst470,30, Private, 226943, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States,?
tst471,27, Private, 132686, 12th, 8, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 50, United-States,?
tst472,22, Private, 235853, 9th, 5, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst473,34, Self-emp-not-inc, 179673, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 60, United-States,?
tst474,41, Private, 230020, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Other, Male, 0, 0, 40, United-States,?
tst475,29, Private, 134890, Assoc-voc, 11, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States,?
tst476,20, Private, 266400, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 48, United-States,?
tst477,26, Private, 256737, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States,?
tst478,59, Self-emp-not-inc, 136413, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 48, United-States,?
tst479,47, Federal-gov, 117628, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst480,20, Private, 188612, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 38, Nicaragua,?
tst481,25, Private, 321205, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 4101, 0, 35, United-States,?
tst482,38, Private, 179117, Assoc-acdm, 12, Never-married, Machine-op-inspct, Not-in-family, Black, Female, 10520, 0, 50, United-States,?
tst483,21, Private, 72593, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States,?
tst484,22, Private, 215395, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 1602, 10, United-States,?
tst485,36, Private, 215373, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 70, United-States,?
tst486,29, Self-emp-not-inc, 394927, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States,?
tst487,50, Private, 258819, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst488,63, ?, 186809, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 30, United-States,?
tst489,46, Private, 213408, Some-college, 10, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, Cuba,?
tst490,42, Private, 194636, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States,?
tst491,19, Private, 46162, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 25, United-States,?
tst492,30, Private, 255004, Assoc-acdm, 12, Divorced, Sales, Not-in-family, White, Male, 0, 0, 52, United-States,?
tst493,25, Private, 193820, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 1876, 40, United-States,?
tst494,22, Private, 152744, Some-college, 10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, Philippines,?
tst495,33, Private, 184833, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States,?
tst496,27, Private, 244315, HS-grad, 9, Divorced, Craft-repair, Other-relative, Other, Male, 0, 0, 40, United-States,?
tst497,65, Private, 155261, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst498,24, Private, 227070, 10th, 6, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States,?
tst499,35, ?, 119006, HS-grad, 9, Widowed, ?, Own-child, White, Female, 0, 0, 38, United-States,?
tst500,21, Private, 225890, Some-college, 10, Never-married, Other-service, Other-relative, White, Female, 0, 0, 30, United-States,?
tst501,31, Private, 382368, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst502,56, Self-emp-not-inc, 125147, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States,?
tst503,24, Private, 585203, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 7688, 0, 45, United-States,?
tst504,30, Private, 375827, HS-grad, 9, Never-married, Handlers-cleaners, Other-relative, White, Male, 0, 0, 40, United-States,?
tst505,78, Private, 180239, Masters, 14, Widowed, Craft-repair, Unmarried, Asian-Pac-Islander, Male, 0, 0, 40, South,?
tst506,44, Self-emp-not-inc, 567788, 5th-6th, 3, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, Mexico,?
tst507,27, Private, 329426, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 45, United-States,?
tst508,44, Local-gov, 83286, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States,?
tst509,33, Private, 181091, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 60, Iran,?
tst510,29, Private, 193125, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst511,56, State-gov, 54260, Doctorate, 16, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, 2885, 0, 40, China,?
tst512,29, Self-emp-not-inc, 190636, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, 0, 1485, 60, United-States,?
tst513,26, Private, 127202, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst514,29, Private, 122000, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 60, United-States,?
tst515,51, Private, 199995, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States,?
tst516,33, State-gov, 73296, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Female, 1831, 0, 40, United-States,?
tst517,29, Private, 24153, Some-college, 10, Married-civ-spouse, Other-service, Wife, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States,?
tst518,28, Private, 118861, 10th, 6, Married-civ-spouse, Craft-repair, Wife, Other, Female, 0, 0, 48, Guatemala,?
tst519,51, Private, 124963, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States,?
tst520,18, Private, 123343, 11th, 7, Never-married, Sales, Not-in-family, White, Female, 0, 0, 30, United-States,?
tst521,62, Private, 57970, 7th-8th, 4, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst522,31, Private, 145377, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States,?
tst523,34, Private, 187215, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 15024, 0, 36, United-States,?
tst524,42, Self-emp-not-inc, 308279, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 21, United-States,?
tst525,20, ?, 173945, 11th, 7, Married-civ-spouse, ?, Other-relative, White, Female, 0, 0, 39, United-States,?
tst526,28, Private, 421967, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 60, United-States,?
tst527,57, Private, 94429, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States,?
tst528,23, Private, 96585, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 30, United-States,?
tst529,42, Self-emp-not-inc, 115323, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 7, ?,?
tst530,38, Local-gov, 200153, Assoc-acdm, 12, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst531,45, Private, 255014, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States,?
tst532,39, Private, 294183, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States,?
tst533,54, Private, 38795, 9th, 5, Separated, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States,?
tst534,41, Private, 121718, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Italy,?
tst535,25, Private, 113436, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 15, United-States,?
tst536,62, Private, 210464, HS-grad, 9, Never-married, Other-service, Other-relative, Black, Female, 0, 0, 38, United-States,?
tst537,22, Private, 239612, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 20, United-States,?
tst538,42, State-gov, 211915, Some-college, 10, Separated, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States,?
tst539,33, Self-emp-not-inc, 295621, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 25, United-States,?
tst540,26, Self-emp-not-inc, 189238, Some-college, 10, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 4, Mexico,?
tst541,42, Private, 77373, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 38, United-States,?
tst542,52, Private, 67090, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 44, United-States,?
tst543,27, Private, 207611, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 52, United-States,?
tst544,63, Private, 180911, 11th, 7, Married-civ-spouse, Protective-serv, Husband, White, Male, 4386, 0, 37, United-States,?
tst545,19, Private, 278480, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst546,36, Private, 146412, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst547,78, ?, 33186, 7th-8th, 4, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 60, United-States,?
tst548,36, Private, 247750, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 45, United-States,?
tst549,35, Private, 98283, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 40, India,?
tst550,26, Private, 104746, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 5013, 0, 60, United-States,?
tst551,37, Private, 359591, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst552,33, Local-gov, 120508, Bachelors, 13, Divorced, Protective-serv, Unmarried, White, Female, 0, 0, 60, Germany,?
tst553,33, Private, 122612, HS-grad, 9, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 35, Thailand,?
tst554,33, Private, 188861, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst555,18, Private, 376647, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 2176, 0, 25, United-States,?
tst556,71, Private, 183678, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 16, United-States,?
tst557,64, ?, 239529, 11th, 7, Widowed, ?, Not-in-family, White, Female, 3674, 0, 35, United-States,?
tst558,30, Private, 173350, Assoc-voc, 11, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst559,30, Private, 196385, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States,?
tst560,25, Self-emp-inc, 182750, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 45, United-States,?
tst561,27, Private, 335421, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 20, United-States,?
tst562,74, Private, 209454, 5th-6th, 3, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States,?
tst563,30, Private, 213722, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States,?
tst564,59, Private, 186385, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst565,42, Private, 181265, Assoc-voc, 11, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 48, United-States,?
tst566,56, Federal-gov, 196307, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst567,21, Private, 51047, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 25, United-States,?
tst568,52, Local-gov, 152795, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst569,27, Private, 234664, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst570,31, Private, 124827, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst571,36, Private, 248445, HS-grad, 9, Separated, Transport-moving, Other-relative, White, Male, 0, 0, 60, Mexico,?
tst572,28, Private, 250135, HS-grad, 9, Never-married, Prof-specialty, Other-relative, White, Female, 0, 0, 40, United-States,?
tst573,53, Private, 92430, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst574,20, Private, 172047, Some-college, 10, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 10, United-States,?
tst575,45, Private, 195554, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 45, United-States,?
tst576,70, Self-emp-inc, 379819, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 10566, 0, 40, United-States,?
tst577,58, Self-emp-not-inc, 165695, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 70, United-States,?
tst578,54, Private, 225599, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 7298, 0, 40, India,?
tst579,57, Private, 191983, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 50, United-States,?
tst580,23, Private, 263899, Some-college, 10, Never-married, Adm-clerical, Own-child, Black, Male, 0, 0, 20, Haiti,?
tst581,55, Local-gov, 84564, Prof-school, 15, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 39, United-States,?
tst582,52, Private, 99682, Some-college, 10, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 52, Canada,?
tst583,40, Private, 145504, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, Black, Male, 0, 0, 40, United-States,?
tst584,32, Private, 209808, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 1740, 47, United-States,?
tst585,22, Private, 214716, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States,?
tst586,20, Private, 102607, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 30, United-States,?
tst587,41, Self-emp-inc, 60949, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 55, United-States,?
tst588,39, Private, 248445, 5th-6th, 3, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, Mexico,?
tst589,31, ?, 82473, 9th, 5, Divorced, ?, Not-in-family, White, Female, 0, 0, 25, United-States,?
tst590,67, Private, 174603, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 35, United-States,?
tst591,44, Self-emp-not-inc, 37618, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States,?
tst592,22, Private, 279041, Some-college, 10, Never-married, Handlers-cleaners, Own-child, Black, Male, 0, 0, 10, United-States,?
tst593,74, Private, 183701, 10th, 6, Widowed, Other-service, Not-in-family, Black, Female, 0, 0, 6, United-States,?
tst594,42, Private, 66460, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States,?
tst595,29, Private, 351871, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States,?
tst596,20, Private, 163205, Some-college, 10, Separated, Other-service, Own-child, White, Female, 0, 0, 30, United-States,?
tst597,26, Private, 158333, 5th-6th, 3, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 40, Columbia,?
tst598,35, ?, 103710, Bachelors, 13, Divorced, ?, Unmarried, White, Female, 0, 0, 16, ?,?
tst599,20, Private, 107658, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 10, United-States,?
tst600,57, Private, 161097, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 26, United-States,?
tst601,19, Private, 255161, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 25, United-States,?
tst602,29, Private, 232784, Assoc-acdm, 12, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States,?
tst603,24, ?, 169624, HS-grad, 9, Divorced, ?, Unmarried, Black, Female, 0, 0, 37, United-States,?
tst604,54, Private, 326156, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst605,38, State-gov, 346766, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst606,33, Private, 207937, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 1092, 40, United-States,?
tst607,33, Local-gov, 267859, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States,?
tst608,38, Private, 54816, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst609,39, Private, 236136, Assoc-voc, 11, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States,?
tst610,50, Local-gov, 311551, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 50, United-States,?
tst611,51, Federal-gov, 36186, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst612,22, Private, 188274, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States,?
tst613,47, Local-gov, 172246, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States,?
tst614,33, Private, 554986, Some-college, 10, Separated, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States,?
tst615,47, Private, 102771, 7th-8th, 4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, Portugal,?
tst616,31, Self-emp-not-inc, 30290, HS-grad, 9, Never-married, Other-service, Unmarried, White, Female, 0, 0, 40, United-States,?
tst617,48, Self-emp-inc, 181307, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States,?
tst618,65, Self-emp-not-inc, 37092, Assoc-voc, 11, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 25, United-States,?
tst619,55, Private, 141549, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst620,33, Private, 106670, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States,?
tst621,26, ?, 39640, Some-college, 10, Never-married, ?, Not-in-family, White, Male, 0, 0, 60, United-States,?
tst622,27, Private, 390657, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States,?
tst623,24, Private, 122234, Some-college, 10, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 20, ?,?
tst624,29, Private, 234447, Some-college, 10, Divorced, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States,?
tst625,32, Private, 196342, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst626,45, Private, 187226, Assoc-acdm, 12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States,?
tst627,22, ?, 34616, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 20, United-States,?
tst628,39, Private, 203180, Some-college, 10, Divorced, Farming-fishing, Unmarried, White, Female, 0, 0, 45, United-States,?
tst629,50, State-gov, 289207, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 45, United-States,?
tst630,55, ?, 216941, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 2885, 0, 40, United-States,?
tst631,65, Private, 172510, Some-college, 10, Widowed, Prof-specialty, Not-in-family, White, Female, 1848, 0, 20, Hungary,?
tst632,42, Self-emp-not-inc, 104118, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst633,20, Private, 296618, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 30, United-States,?
tst634,22, Private, 151888, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States,?
tst635,74, State-gov, 88638, Doctorate, 16, Never-married, Prof-specialty, Other-relative, White, Female, 0, 3683, 20, United-States,?
